"CutConfig","Name","SourceLibrary","Type","Diameter_mm","Flutes","FluteLen_mm","LenBelowHolder_mm","CornerRad_mm","OAL_mm","Material"
"Aluminum (Metric)","40mm 6F Face","Aluminium Metric Tools","face mill","40","6","6","50","0","130","carbide"
"Aluminum (Metric)","12mm 3F Bull  R0.75","Aluminium Metric Tools","bull nose end mill","12","3","25","45","0.75","70","carbide"
"Aluminum (Metric)","12mm 5F Flat","Aluminium Metric Tools","flat end mill","12","5","50","60",,"102","carbide"
"Aluminum (Metric)","8mm 3F Bull  R0.5","Aluminium Metric Tools","bull nose end mill","8","3","22","35","0.5","70","carbide"
"Aluminum (Metric)","8mm 5F Flat","Aluminium Metric Tools","flat end mill","8","5","20","35",,"70","carbide"
"Aluminum (Metric)","5mm 3F Bull  R0.25","Aluminium Metric Tools","bull nose end mill","5","3","12","20","0.25","50","carbide"
"Aluminum (Metric)","5mm 4F Flat","Aluminium Metric Tools","flat end mill","5","4","16","25",,"50","carbide"
"Aluminum (Metric)","3mm 3F Flat","Aluminium Metric Tools","flat end mill","3","3","8","15",,"35","carbide"
"Aluminum (Metric)","1.5mm 2F Flat","Aluminium Metric Tools","flat end mill","1.5","2","3","10",,"40","carbide"
"Aluminum (Metric)","10mm 3F Ball","Aluminium Metric Tools","ball end mill","10","3","20","40",,"70","carbide"
"Aluminum (Metric)","6mm 4F Ball","Aluminium Metric Tools","ball end mill","6","4","12","25",,"42","carbide"
"Aluminum (Metric)","3mm 3F Ball","Aluminium Metric Tools","ball end mill","3","3","5","15",,"31","carbide"
"Aluminum (Metric)","6mm 4F Chamfer  41??","Aluminium Metric Tools","chamfer mill","6","4","3","18",,"55","ti coated"
"Aluminum (Metric)","8mm 4F Chamfer  45??","Aluminium Metric Tools","chamfer mill","8","4","4","20",,"55","ti coated"
"Aluminum (Metric)","16mm Countersink 82??","Countersinks (Metric)","counter sink","16","3","6","25",,"50","carbide"
"Aluminum (Metric)","16mm Countersink 90??","Countersinks (Metric)","counter sink","16","3","6","25",,"50","carbide"
"Aluminum (Metric)","14mm Countersink 90??","Countersinks (Metric)","counter sink","14","4","7","25",,"50","carbide"
"Aluminum (Metric)","14mm Countersink 90??","Countersinks (Metric)","counter sink","14","3","5","25",,"50","carbide"
"Aluminum (Metric)","12mm Countersink 82??","Countersinks (Metric)","counter sink","12","4","4","25",,"50","carbide"
"Aluminum (Metric)","12mm Countersink 90??","Countersinks (Metric)","counter sink","12","3","4","25",,"50","carbide"
"Aluminum (Metric)","12mm Countersink 120??","Countersinks (Metric)","counter sink","12","4","3.4","25",,"50","carbide"
"Aluminum (Metric)","10mm Countersink 90??","Countersinks (Metric)","counter sink","10","4","5","25",,"50","carbide"
"Aluminum (Metric)","10mm Countersink 90??","Countersinks (Metric)","counter sink","10","3","3","25",,"50","carbide"
"Aluminum (Metric)","10mm Countersink 82??","Countersinks (Metric)","counter sink","10","4","5","25",,"50","carbide"
"Aluminum (Metric)","10mm Countersink 120??","Countersinks (Metric)","counter sink","10","4","2.8","25",,"50","carbide"
"Aluminum (Metric)","8mm Countersink 90??","Countersinks (Metric)","counter sink","8","4","4","25",,"50","carbide"
"Aluminum (Metric)","8mm Countersink 120??","Countersinks (Metric)","counter sink","8","4","2.3","25",,"50","carbide"
"Aluminum (Metric)","6mm Countersink 90??","Countersinks (Metric)","counter sink","6","4","3","25",,"50","carbide"
"Aluminum (Metric)","6mm Countersink 82??","Countersinks (Metric)","counter sink","6","4","3","25",,"50","carbide"
"Aluminum (Metric)","6mm Countersink 120??","Countersinks (Metric)","counter sink","6","4","1.7","25",,"50","carbide"
"Aluminum (Metric)","3mm Countersink 90??","Countersinks (Metric)","counter sink","3","4","1.5","15",,"40","carbide"
"Aluminum (Metric)","3mm Countersink 82??","Countersinks (Metric)","counter sink","3","4","2.5","15",,"40","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.06","3","0.09","1.5",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.01"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.01","3","0.05","0.36308",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.093","3","0.279","0.36921","0.01","1.5","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.06","3","0.09","1.5",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.035"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.035","3","0.35","0.509",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Bull R0.012","Harvey General Use Endmills 3 Flute","bull nose end mill","0.093","3","0.139","0.62052","0.012","2.5","carbide"
"Aluminum (Metric)","Harvey 0.017"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.017","3","0.051","0.20703",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.016"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.016","3","0.048","0.2049",,"1.5","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Bull R0.03","Harvey General Use Endmills 3 Flute","bull nose end mill","0.125","3","0.187","1.06596","0.03","2.5","carbide"
"Aluminum (Metric)","Harvey 0.03"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.03","3","0.15","0.52878",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.055"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.055","3","0.275","0.41256",,"2.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.078","3","0.475","0.5879",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.02"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.02","3","0.03","0.32576",,"2.5","carbide"
"Aluminum (Metric)","Harvey 7/32"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.2187","3","0.33","1.93736",,"4","carbide"
"Aluminum (Metric)","Harvey 0.08"" 3F Bull R0.005","Harvey General Use Endmills 3 Flute","bull nose end mill","0.08","3","0.12","0.54904","0.005","2.5","carbide"
"Aluminum (Metric)","Harvey 0.09"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.09","3","0.75","1.37572",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/16"" 3F Bull R0.02","Harvey General Use Endmills 3 Flute","bull nose end mill","0.062","3","0.093","0.67422","0.02","2.5","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.06","3","0.09","0.89768",,"2.5","carbide"
"Aluminum (Metric)","Harvey 3/16"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.1875","3","0.281","1.09765","0.01","3","carbide"
"Aluminum (Metric)","Harvey 0.02"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.02","3","0.2","0.37509",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.045"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.045","3","0.067","0.19878",,"1.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.078","3","0.117","0.3805",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.118"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.118","3","0.177","0.70222",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.01"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.01","3","0.015","0.17709",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.109"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.109","3","0.163","1.40482",,"3","carbide"
"Aluminum (Metric)","Harvey 0.03"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.03","3","0.045","0.18977",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.055"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.055","3","0.385","0.95634",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.015","3","0.045","0.20276",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.06","3","0.09","0.48968","0.01","2.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.015","3","0.022","0.47942",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.25","3","0.375","1.37846","0.01","4","carbide"
"Aluminum (Metric)","Harvey 0.035"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.035","3","0.281","0.44",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.013"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.013","3","0.019","0.32288",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.065"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.065","3","0.097","0.96902",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.125","3","0.187","1.56596","0.01","3","carbide"
